[2017-07-17 11:26:01.884] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:26:13.891] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:26:25.903] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:26:37.915] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:26:49.929] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:27:01.932] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:27:13.938] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:27:25.951] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:27:37.965] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:27:49.972] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:28:01.977] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:28:13.979] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:28:25.992] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:28:37.997] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:28:50.003] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:29:02.014] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:29:14.026] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:29:26.034] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:29:38.042] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:29:50.055] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:30:02.066] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:30:14.074] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:30:26.087] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:30:38.096] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:30:50.101] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:31:02.107] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:31:14.115] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:31:26.124] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:31:38.138] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:31:50.151] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:32:02.163] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:32:14.175] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:32:26.188] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:32:38.201] [INFO] normal - Currently, connection number is: 2
